"Course Code","Full Name","Description"
"ACC-202","Managerial Accounting","Study of accounting principles for managers to plan, control, and analyze operations."
"BUS-101","Introduction to Business Administration","Overview of business structures, management, and organizational theory."
"BUS-310","Operations Management","Methods and tools for managing production and business processes efficiently."
"BUS-400","Corporate Strategy and Policy","Advanced topics in defining, analyzing, and implementing business strategies."
"CHM-101","General Chemistry I","Foundation of chemical principles and reactions, designed for science majors."
"CHM-250","Organic Chemistry I","Structure, properties, and reactions of organic compounds."
"CSC-101","Introduction to Programming","Basics of programming using modern languages for problem-solving."
"CSC-250","Data Structures and Algorithms","Core structures (lists, trees) and algorithms for computation and software development."
"CSC-310","Database Systems","Concepts and implementation of databases including SQL and data modeling."
"ECO-101","Principles of Microeconomics","Introduction to consumer and producer behavior, and market dynamics."
"ECO-220","Intermediate Macroeconomics","Study of aggregate economic variables: GDP, inflation, unemployment, and policies."
"FIN-210","Corporate Finance","Fundamentals of company finance: budgeting, valuation, and raising capital."
"FIN-300","Introduction to Financial Markets","Basics of stocks, bonds, and financial institutions and their operations."
"FIN-350","Investment Analysis","Techniques for evaluating investment opportunities, risks, and returns."
"FIN-410","Advanced Corporate Finance","In-depth analysis of financial strategy, M&A, and corporate governance."
"HRM-200","Human Resource Management","Principles for effective hiring, training, and retaining employees."
"IB-400","International Business Strategy","Strategies and managerial practices for global operations."
"MKT-205","Principles of Marketing","Fundamental concepts in planning, pricing, and promotion of products/services."
"MKT-300","Consumer Behavior","Analysis of factors influencing individual and group buying decisions."
"MKT-310","Marketing Research","Methods and tools for gathering and analyzing market data."
"MTH-110","Calculus I","Differentiation and integration of functions, limits, and introductory analysis."
"MTH-215","Linear Algebra","Vector spaces, matrices, and linear transformations underpinning technical fields."
"MTH-300","Differential Equations","Techniques for solving ordinary differential equations and applications."
"PHY-101","Classical Mechanics","Newtonian mechanics, motion, forces, and energy concepts."
"PHY-220","Electromagnetism","Study of electric and magnetic fields and their interactions."
"PHY-300","Introduction to Quantum Mechanics","Principles of quantum systems, wave functions, and uncertainty."
"STA-150","Introduction to Statistics","Analysis and interpretation of data with probability and statistical methods."